"","SRR16352841ReadsPerGene.out.tab","SRR16352842ReadsPerGene.out.tab","SRR16352843ReadsPerGene.out.tab","SRR16352845ReadsPerGene.out.tab","SRR16352846ReadsPerGene.out.tab","SRR16352847ReadsPerGene.out.tab","SRR16352849ReadsPerGene.out.tab","SRR16352850ReadsPerGene.out.tab","SRR16352851ReadsPerGene.out.tab","SRR16352854ReadsPerGene.out.tab","SRR16352855ReadsPerGene.out.tab","SRR16352856ReadsPerGene.out.tab","SRR16352859ReadsPerGene.out.tab","SRR16352860ReadsPerGene.out.tab","SRR16352861ReadsPerGene.out.tab"
"lncRNA:CR46079",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR46078",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR46076",4,0,0,1,0,4,0,0,0,0,0,0,0,0,0
"lncRNA:CR46077",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR46087",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR46086",0,0,0,0,0,1,2,0,0,0,0,0,0,0,0
"lncRNA:CR45991",5,2,0,2,1,0,0,0,0,3,0,1,2,2,3
"lncRNA:CR46085",6,5,12,3,5,4,0,10,1,11,0,5,3,2,3
"lncRNA:CR46073",0,0,0,1,0,0,0,1,0,0,0,5,0,0,1
"lncRNA:CR46233",0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
"lncRNA:CR45788",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR46084",1,0,0,1,2,3,0,0,0,3,1,3,0,1,0
"lncRNA:CR46083",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR42765",3,1,3,15,21,4,0,1,4,28,33,7,2,3,2
"lncRNA:CR46062",8,10,9,5,7,15,1,3,1,0,10,7,6,13,5
"lncRNA:CR46061",38,50,58,6,13,29,20,26,7,24,64,22,17,35,22
"lncRNA:CR46060",7,13,3,1,5,6,8,5,12,2,16,17,2,1,7
"lncRNA:CR46102",0,2,0,0,0,0,2,3,0,0,1,0,0,0,0
"asRNA:CR46101",0,0,5,0,1,0,1,1,0,0,0,0,3,2,0
"lncRNA:CR45917",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR45910",4,1,7,0,3,0,5,8,2,1,3,0,5,6,3
"lncRNA:CR46100",0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
"asRNA:CR46099",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR46098",10,7,1,0,3,3,0,6,1,14,0,5,0,0,2
"asRNA:CR46097",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR43166",0,0,0,10,5,4,2,0,0,3,4,2,0,0,0
"asRNA:CR46096",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lncRNA:CR46095",3,3,1,0,0,2,0,1,0,0,0,0,3,0,0
"lncRNA:CR46094",24,8,18,11,31,35,1,12,0,17,12,5,14,4,4
"lncRNA:CR45950",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"asRNA:CR46093",42,65,40,13,32,34,28,47,12,66,45,36,19,49,18
"asRNA:CR46092",0,1,0,0,0,0,0,2,0,0,0,0,0,0,0
"asRNA:CR46091",3,0,4,1,1,1,5,0,0,2,0,3,14,3,0
"lncRNA:CR46090",0,0,1,0,0,4,0,1,0,0,3,1,5,0,0
"asRNA:CR46089",45,25,28,15,33,8,3,3,6,10,11,20,8,5,9
"lncRNA:CR46088",1,0,0,0,0,2,3,3,1,7,5,7,0,5,4
