"","SRR16352841ReadsPerGene.out.tab","SRR16352842ReadsPerGene.out.tab","SRR16352843ReadsPerGene.out.tab","SRR16352845ReadsPerGene.out.tab","SRR16352846ReadsPerGene.out.tab","SRR16352847ReadsPerGene.out.tab","SRR16352849ReadsPerGene.out.tab","SRR16352850ReadsPerGene.out.tab","SRR16352851ReadsPerGene.out.tab","SRR16352854ReadsPerGene.out.tab","SRR16352855ReadsPerGene.out.tab","SRR16352856ReadsPerGene.out.tab","SRR16352859ReadsPerGene.out.tab","SRR16352860ReadsPerGene.out.tab","SRR16352861ReadsPerGene.out.tab"
"CG14671",249,186,247,133,287,251,215,351,59,295,306,342,290,213,273
"CG2911",436,390,528,161,423,346,179,334,74,317,300,296,331,291,206
"Snm1",134,126,182,78,204,145,133,162,42,138,171,105,131,117,265
"asl",227,133,162,92,161,122,129,158,27,364,200,185,106,87,332
"mia",66,35,49,53,53,43,73,91,34,92,85,181,74,39,79
"Hcs",447,306,412,151,262,353,476,731,207,492,513,506,548,401,385
"mRpL44",360,256,296,116,245,272,322,476,134,334,317,411,338,281,442
"RpL35A",18569,17760,17496,8322,14206,14683,22622,31878,7178,21142,23078,16695,24260,21079,23118
"PEK",2279,2181,2429,554,1503,1619,1740,2790,413,1465,2183,1414,1885,1848,1202
"CG12147",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"CG1172",593,553,625,207,522,517,481,791,188,539,590,524,514,472,493
"CG14668",0,2,0,0,0,0,0,3,0,0,0,0,0,0,0
"CG1161",2801,2131,2380,1358,2358,2428,1786,2573,725,2412,2060,2115,2011,1808,1477
"CG11999",1610,1447,1617,552,1040,1141,1122,1707,315,1243,1195,965,942,926,816
"Tim17b1",2,1,0,0,7,6,0,0,2,0,3,0,1,4,3
"Tim17a2",19,11,16,1,15,16,23,17,5,3,12,19,15,8,12
"CG12173",365,283,318,202,365,410,412,572,124,403,420,372,391,324,449
"CG1113",42,47,52,18,43,28,34,61,21,74,39,60,81,53,14
"rtp",23,26,15,7,28,12,20,30,3,13,50,19,24,57,13
"Mms19",556,388,550,241,467,542,592,746,189,715,692,698,645,510,581
"Vps37B",1220,873,1149,394,828,920,816,1307,291,857,818,918,946,830,652
"Prosbeta2R2",10,7,3,2,5,7,0,8,0,5,10,1,2,3,2
"CG12590",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CG12007",1915,1388,1732,714,1604,1437,1189,2053,470,1662,1669,1749,1381,1193,815
"plh",274,178,190,80,116,218,138,225,32,86,106,63,111,96,80
"CG14662",5,7,3,4,6,8,0,5,4,10,14,3,5,2,2
"CG1124",60,42,33,48,79,114,64,81,7,34,91,33,26,35,23
"CG2016",4,7,2,2,2,2,5,2,1,2,18,3,0,0,0
"CG14661",680,569,437,216,283,254,677,912,213,93,207,95,325,617,412
"laf",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"CG14659",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CG14658",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CG14657",498,397,509,197,449,407,397,507,156,472,406,440,402,355,576
"BBS5",23,15,20,14,19,21,16,14,3,6,11,7,9,12,9
"ctrip",8058,6667,7423,2173,4740,5426,6729,8969,2646,7670,8434,7605,7577,6469,7046
"CG17387",14,2,13,2,14,12,6,13,4,7,34,18,5,9,8
"CG14655",470,324,364,103,200,272,235,277,79,263,236,203,259,218,237
"atms",466,370,470,193,301,409,334,586,132,388,428,385,358,296,501
"eIF3f1",7067,5658,6826,2845,5217,5328,4916,7255,1608,5136,5222,4112,5854,4710,4439
"spartin",1178,1150,1279,815,1541,1822,1497,2400,814,2214,2431,2004,1612,1581,1530
"slx1",31,29,33,24,47,33,31,46,6,24,29,18,18,31,40
"Mur82C",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Fip1",635,578,587,250,452,497,473,950,208,653,591,556,584,530,628
"CG14651",0,2,0,1,0,6,0,0,1,0,32,6,3,1,0
"CG14650",916,826,922,271,569,708,841,1110,275,822,905,657,1011,829,850
"CG1074",18,16,10,9,17,17,13,14,6,28,9,10,12,20,26
"lost",9675,8108,10316,3626,9711,9303,8720,11329,2419,8711,9527,6742,9601,8507,15228
"CG1103",420,282,409,179,380,408,300,307,87,304,329,299,302,274,371
"CG14647",339,275,339,193,352,343,280,384,98,389,374,334,391,256,341
"CG9853",736,579,725,290,642,677,653,1053,297,797,727,861,853,608,722
"CG9855",113,81,85,38,107,84,84,89,39,154,98,123,111,75,111
"Syt14",11,9,23,6,17,22,12,12,5,13,19,1,10,12,6
"CG14646",529,424,526,201,440,456,478,736,174,591,498,593,573,453,415
"Cont",1817,1445,1795,688,1734,1630,1817,2688,479,1671,1737,1431,1715,1537,1228
"Nepl11",2495,2863,3482,1469,3462,2648,3506,3900,791,2406,3025,1245,3108,2301,2772
"TwdlV",0,0,4,0,4,1,1,0,0,3,2,1,1,2,0
"CG14644",1,6,10,5,3,12,8,2,4,11,17,8,3,10,4
"TwdlG",10,7,21,2,9,6,12,15,4,18,15,1,2,7,15
"TwdlF",6,3,5,2,1,5,11,17,2,3,0,2,3,7,4
"CG14641",933,694,859,458,716,816,799,1232,297,972,1003,1039,892,820,767
"DhpD",977,1044,1019,505,1032,1106,1311,1906,378,1208,1478,955,1104,928,1087
"CG14636",330,223,357,321,321,280,99,105,17,605,992,303,96,120,45
"CG12768",198,174,176,90,132,199,249,282,88,305,288,149,290,222,255
"BoYb",8,6,1,2,18,10,8,8,0,8,4,8,0,2,166
"CG11131",7,2,2,3,0,4,1,0,0,5,2,0,4,0,0
"Ssl1",41,42,55,34,41,38,36,74,15,64,42,42,54,43,51
"CG13239",2,0,2,0,0,0,4,0,0,0,0,0,5,0,0
"CG11226",28,19,40,20,68,68,25,31,2,42,32,36,39,22,31
"CG14448",0,0,0,0,0,0,1,0,0,0,4,0,0,0,0
"CG7369",359,346,423,123,268,314,395,616,192,351,417,339,489,389,496
"l(3)04053",334,299,285,117,205,253,309,411,135,353,258,336,355,287,303
"CG11367",46,42,79,20,25,45,53,75,25,55,50,68,54,50,89
"CG14450",266,182,223,59,150,158,128,200,42,165,166,165,161,113,191
"CG14451",55,24,28,12,42,34,7,12,1,16,16,10,17,19,14
"CG11370",10,7,1,3,6,0,3,4,0,9,4,0,3,2,4
"CG14452",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CG14453",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CG12546",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CG14454",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CG14456",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"CG14455",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CG14457",1,1,0,0,0,2,1,0,35,1,2,223,0,2,5
"ND-B14.5AL",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"CG11404",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CG11425",192,180,439,188,398,270,225,396,10,191,243,75,410,170,124
"CG11426",474,335,596,341,783,706,177,251,124,313,343,452,209,161,168
"CG11437",2,8,10,3,9,3,5,5,3,2,2,3,5,5,1
"CG11438",52,36,29,35,45,108,21,28,5,18,20,28,32,23,20
"laza",942,1000,1118,493,1041,1365,1354,1662,372,635,757,658,1273,1196,869
"CG11449",4,1,1,2,2,0,1,2,1,1,0,0,1,3,0
"Srpk79D",1013,730,838,197,367,707,444,749,185,453,698,442,660,625,560
"CG11523",249,150,196,120,192,169,182,186,54,221,193,185,182,156,169
"CG7130",297,259,257,243,530,508,212,319,22,500,519,332,269,232,251
"CG7133",307,276,360,216,421,408,362,599,131,691,578,510,376,358,429
"CG7139",1804,1601,1829,549,1224,1509,1699,2610,426,1269,1746,1112,1866,1783,1239
"CG14561",47,22,31,25,36,29,22,46,3,24,34,23,27,38,89
"CG7140",0,2,0,0,0,0,1,3,0,0,1,0,1,1,1
"CG7470",9038,11410,13547,3926,12014,13683,18543,21671,5987,8179,14199,6715,14166,13058,19731
"CG7458",208,317,293,40,106,112,340,304,63,131,172,122,247,209,321
"CG14562",679,475,592,280,590,724,501,721,156,620,551,525,557,445,543
"DNApol-eta",90,62,70,31,96,84,41,49,8,72,59,77,48,43,169
"SLC22A",312,402,498,284,849,822,259,312,90,669,355,553,223,288,622
"CG14563",0,0,0,2,1,0,0,0,0,0,0,0,0,0,0
"CG7148",566,567,534,186,342,359,541,634,174,538,511,437,482,397,373
"CG14573",0,0,1,1,3,8,1,8,0,0,0,0,2,0,0
"CG7414",8083,8205,9213,3070,6323,6999,8763,11582,2557,6910,7387,4786,9025,7439,8810
"CG14568",6,2,4,1,2,13,0,1,0,0,0,0,0,0,0
"CG11396",550,480,586,248,430,418,306,407,105,677,500,466,309,248,374
"Acbp5",0,0,7,2,1,9,0,0,463,1,1,2053,9,0,52
"CG7407",449,313,395,159,390,345,278,531,95,436,375,378,339,336,358
"CG14569",0,1,0,0,0,2,2,0,0,0,0,0,2,0,0
"CG11399",502,406,514,169,413,331,476,778,234,731,647,580,549,518,963
"CG7370",0,0,0,0,0,0,0,0,3,3,0,1,0,0,0
"CG14570",5,6,18,1,9,7,6,10,3,1,1,4,2,10,2
"Pex14",1235,977,1046,521,1214,1328,1341,2069,577,2205,1928,2446,1652,1425,1191
"CG6576",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"Rpb8",203,184,152,53,200,159,164,251,50,207,178,181,248,165,235
"Pex16",829,775,589,409,795,936,811,1352,430,1588,1100,1586,962,924,641
"CG6511",263,239,301,175,416,352,466,595,60,452,529,277,467,412,290
"CG14564",14,2,6,3,8,3,5,12,3,10,3,3,10,3,18
"Pex7",2,5,2,2,0,0,1,1,0,3,0,5,1,0,0
"CG14565",0,9,2,1,3,1,4,1,1,6,3,5,2,2,3
"CG4042",295,233,251,130,217,293,251,441,107,326,280,318,292,246,274
"CG13305",3,2,0,1,0,2,1,1,0,0,0,0,0,2,0
"CG14572",5,5,2,15,7,4,6,8,1,8,5,10,3,1,1
"CG4074",91,89,126,61,109,105,128,173,43,189,190,138,137,80,168
"CG14566",12,26,14,4,15,12,51,69,5,0,24,35,22,28,20
"CG13252",563,395,424,137,384,325,378,479,136,407,453,613,400,342,530
"CG14567",2155,1461,1545,1064,3550,851,162,204,13,191,1613,143,311,658,65
"Als2",1259,1147,1400,543,1213,1043,1260,1946,462,1456,1360,1316,1558,1289,1074
"CG11249",18,8,21,1,3,14,21,32,2,9,35,18,14,19,25
"CG13251",3,7,3,1,1,4,4,2,1,9,8,0,1,5,5
"Cdc6",34,32,48,6,26,28,21,55,22,35,31,33,20,30,204
"Cpr78E",163,133,118,90,128,174,107,144,25,106,100,87,90,70,88
"CG13250",154,119,158,81,171,91,59,86,18,69,96,22,67,43,52
"GAPsec",491,400,491,199,431,405,415,534,151,613,585,412,393,347,397
"Rcd2",1558,1100,1316,494,1285,935,856,1183,246,816,1197,873,958,1013,834
"S-Lap1",5,2,3,0,7,3,1,9,2,3,2,2,6,8,11
"CG4858",795,615,713,499,905,1008,741,1153,343,1342,1090,1202,926,809,631
"CG4825",1697,2117,1704,976,2366,2940,2279,2880,608,2351,2893,1660,2784,2189,1407
"CG5989",718,494,620,263,557,563,551,799,206,605,590,512,683,592,642
"MED1",865,635,811,269,633,604,729,1050,287,732,715,801,889,651,911
"CG5104",1926,1492,1940,1155,1770,1455,1271,1555,316,1766,1517,1134,1329,1096,1084
"Nelf-E",140,110,134,63,138,155,140,194,47,217,183,200,170,141,211
"Alg11",1284,1003,1126,595,1195,962,1071,1637,388,1288,1136,1130,1334,1099,1070
"mTerf3",2000,1686,2457,817,1433,1158,240,335,85,289,264,244,266,224,221
"CG7166",13,8,9,3,6,0,7,8,3,13,8,10,9,7,7
"CG6638",1642,2042,1644,720,1527,2011,1904,3192,893,3113,2887,2424,1911,1862,1301
"rhea",23422,16687,21047,7641,17581,17883,15842,21971,4295,18823,19015,12696,18486,17853,12676
"CG5078",7,7,11,4,6,11,13,13,4,16,13,11,9,17,9
"S1P",343,204,306,149,321,253,296,407,71,357,341,304,327,258,310
"GstO1",175,134,97,106,241,163,212,338,53,230,243,162,246,179,324
"CG17637",8,6,12,3,3,7,7,3,0,2,4,7,7,7,1
"CG18281",9,5,8,5,4,2,5,6,1,10,7,1,7,6,2
"se",62,56,59,28,50,42,22,66,10,22,49,19,27,46,13
"GstO3",3323,2880,3466,1606,2745,3903,2825,4521,1191,4872,4310,5643,2691,2809,1774
"ND-39",6027,5463,5534,1951,3265,4739,5608,8513,2158,4446,5209,4129,5790,5132,5026
"CRIF",472,406,449,157,308,338,372,580,152,391,358,513,452,368,495
"CG6765",15,20,23,6,21,19,7,10,0,18,25,23,15,8,7
"CG7634",1,0,0,0,0,0,0,0,2,0,1,0,0,0,1
"CG6683",53,61,47,27,61,43,53,78,13,63,54,50,52,69,68
"Pus7",124,136,155,77,143,107,185,183,40,258,254,152,234,159,337
"CG7173",0,0,0,0,3,0,0,3,0,0,1,0,0,0,0
"ZC3H3",228,191,198,78,100,200,187,237,66,231,211,207,203,183,220
"CG5955",99,35,174,22,99,51,49,143,17,45,88,40,86,66,49
"mag",6,5,5,0,3,12,9,12,10,35,38,74,21,6,4
"CG43163",101,65,66,33,80,116,68,102,30,80,57,63,51,50,60
"COX8",3390,2897,2993,1499,2249,3040,2607,3766,1012,2631,2491,2582,2670,2363,2455
"atk",24,16,72,6,33,4,146,166,31,251,268,201,193,119,101
"CG6983",571,466,441,76,293,397,261,404,85,304,319,322,259,268,441
"Unr",3454,2651,3606,1435,4803,3808,3221,3814,848,4674,4806,3497,3801,3419,3933
"VhaM9.7-b",3619,2202,3228,2535,4882,3525,1952,2395,792,4426,3497,4172,2679,2119,2263
"CG5199",171,151,127,65,96,158,101,197,40,177,156,126,146,130,228
"CG5910",495,570,676,220,643,1087,666,659,387,378,474,1121,574,483,895
"SAK",70,55,66,24,58,68,66,115,22,130,108,103,79,51,119
"CtIP",114,133,98,46,105,103,131,164,44,147,132,148,125,116,233
"mtrm",3,5,10,5,70,32,11,7,13,8,8,31,20,6,688
"CG5262",863,595,789,504,1168,815,632,805,246,969,800,779,712,667,634
"Exo70",266,243,267,108,237,279,311,372,89,385,351,321,328,264,340
"Oseg1",59,58,51,24,45,38,42,91,19,92,63,75,70,72,167
"Est-Q",320,385,345,93,310,245,205,326,236,113,201,679,158,207,395
"CG5282",31,27,54,8,37,33,25,25,7,27,22,19,32,20,14
"zye",12,16,2,0,6,2,5,3,3,11,4,10,3,0,1
"CG13248",147,50,83,57,106,32,58,73,10,38,55,40,81,60,71
"CG7120",295,283,308,118,232,274,738,948,387,680,484,756,1253,1423,1681
"CG7519",494,324,390,191,435,351,359,564,155,618,460,421,513,369,493
"Jon66Cii",0,0,0,0,0,0,0,0,1,0,0,4,0,0,0
"CG7202",3,2,0,0,2,0,14,6,2,7,6,0,5,1,2
"Neu2",8,0,0,4,6,1,6,6,1,10,14,13,2,3,3
"RhoBTB",2213,1967,2236,927,2060,2686,1554,2520,812,2357,2180,2262,3665,2830,2256
"Alp1",7,1,9,2,4,0,8,13,6,5,4,4,15,18,33
"CG13247",53,54,60,23,27,54,11,33,3,20,19,14,13,22,12
"CG5664",208,224,227,140,255,225,149,249,49,243,261,279,192,177,261
"Toll-9",5,5,10,2,7,4,3,14,21,8,15,75,12,12,3
"GAPcenA",3709,2541,3451,1408,2627,2159,2394,3084,543,3018,3008,1803,2458,2031,1620
"CG5665",16,4,1,1,2,7,8,5,0,8,1,0,0,4,3
"CG7182",709,543,713,197,482,417,551,756,155,640,528,474,646,492,823
"rgn",4151,3073,3572,1823,4238,3848,2315,3310,595,2748,3087,2855,2855,1991,2462
"kin17",316,260,294,137,280,372,284,421,132,401,332,419,329,293,298
"CG7083",1083,945,935,469,1029,1254,951,1488,388,1160,1265,945,1138,1039,1017
"sa",5,1,3,0,1,6,3,8,1,7,8,0,7,6,2
"Pex2",778,831,727,392,643,900,937,1611,455,1415,1209,1180,1119,861,726
"Cpr66Cb",2,1,6,0,0,0,1,3,0,0,3,0,0,2,1
"CG12971",76,25,37,15,42,61,70,126,74,100,47,58,96,84,36
"Rbbp5",289,254,274,128,247,188,240,305,91,315,317,261,296,194,232
"CG13670",1,1,1,0,0,0,0,0,0,1,0,0,0,0,0
"Cpsf6",1613,1406,1623,585,1288,1404,1292,2075,473,1330,1543,1314,1309,1204,1630
"ebd2",122,88,135,30,81,61,41,59,27,63,79,118,66,55,141
"Spn77Bc",28,20,13,3,3,10,8,32,7,37,34,33,21,29,15
"Spn77Bb",3,2,4,2,7,6,4,2,4,13,7,1,0,1,0
"CG7324",9845,6840,9114,4424,8717,7015,7804,10700,2053,11568,10337,7200,8107,7134,7213
"Sbp2",313,267,338,134,340,341,244,359,88,497,299,344,302,245,320
"Tsr1",912,816,1040,396,821,692,973,1126,252,1217,1141,721,1432,935,1485
"CG7194",183,142,186,283,607,333,184,215,138,111,95,596,195,221,264
"Rab26",14,6,1,1,10,5,4,5,1,10,8,3,6,12,9
"CG13671",511,414,499,268,550,453,543,739,168,637,575,572,584,542,402
"CG7632",554,557,573,274,462,613,455,734,230,1052,716,859,566,519,612
"FRG1",334,287,308,147,302,348,361,525,134,453,435,423,437,321,329
"Arl5",806,601,771,333,785,748,540,740,185,778,725,673,588,467,583
"CG7201",1,1,3,1,10,8,0,0,0,0,4,0,6,0,6
"Cpr78Cc",1,2,2,1,5,5,2,7,0,3,10,0,0,1,2
"gogo",22,18,15,11,37,18,286,392,75,1582,1362,1119,449,340,244
"cert",6136,4303,6123,2621,6118,3981,2796,3985,633,3582,3891,2581,3210,2842,2034
"Cpr78Cb",0,0,2,3,0,0,0,1,0,1,0,0,7,3,0
"Cpr78Ca",1,0,1,0,1,0,0,2,0,3,0,0,0,1,0
"pzg",970,771,1005,352,741,874,1263,1677,425,1158,1263,1080,1330,1061,1982
"CG7213",25,51,28,14,64,13,16,35,5,49,31,32,25,22,17
"CG9389",12,4,6,7,1,13,9,12,0,10,11,4,14,10,3
"CG13813",8,0,3,0,1,0,2,3,27,3,11,197,11,6,20
"eIF4E3",3,2,3,4,5,1,0,1,2,5,2,4,6,1,2
"CG12975",133,106,119,65,164,158,134,166,40,194,149,181,193,157,200
"CG13678",1,3,5,1,0,6,15,10,3,3,4,4,10,15,4
"CG13674",2,3,2,1,0,1,5,6,1,8,9,18,16,5,6
"CG17145",2,0,0,0,0,1,0,0,11,0,0,38,0,0,0
"CG10510",5,4,2,2,6,3,7,13,1,1,8,1,4,6,5
"CG8006",0,0,0,0,0,0,0,0,0,0,1,0,5,1,0
"CG7017",0,0,1,1,2,0,0,0,1,0,0,0,0,0,0
"CG7366",4,0,1,1,1,0,0,9,0,5,8,1,1,4,7
"CG6996",0,2,0,0,0,0,2,0,0,0,0,0,0,0,0
"CG8005",57,73,72,28,95,54,74,114,43,73,120,118,111,81,108
"CG7290",0,0,5,1,8,7,2,0,1,1,1,4,0,1,1
"CG42337",111,115,99,15,36,29,109,187,67,57,65,47,113,129,61
"UbcE2M",929,746,874,465,894,995,743,1133,268,1319,1082,1076,815,694,761
"CG7387",3,5,16,1,8,7,13,7,1,7,10,10,18,15,1
"CG7298",0,1,6,1,0,3,1,0,778,0,0,3677,6,0,156
"obst-F",0,0,0,2,1,1,0,0,0,0,1,0,0,2,0
"MED24",494,449,467,180,430,436,405,571,131,451,427,437,354,353,315
"CG10565",2083,1587,2230,845,1733,1608,1589,2120,430,1887,1982,1391,2248,1582,2245
"ICA69",12,3,8,2,17,20,2,5,3,14,9,6,4,6,14
"CG42674",2991,1899,2691,694,1585,1432,728,1258,398,874,1003,1414,999,836,585
"Uxs",474,520,445,216,423,475,517,778,213,663,530,723,566,540,506
"CG7328",113,110,126,48,127,124,186,265,89,275,276,259,188,169,240
"CG7335",5,0,1,1,2,7,4,2,2,0,2,9,1,2,0
"CG10581",129,111,151,82,112,158,131,266,37,192,200,156,164,136,105
"obst-J",6,0,9,2,13,0,3,5,0,1,12,5,6,9,10
"CG13676",20,14,15,4,14,18,22,23,4,10,60,3,15,11,27
"CG10584",353,229,309,167,311,321,233,339,53,359,368,253,272,199,215
"CG7365",17,34,21,9,4,22,23,45,5,6,39,22,38,37,12
"mus301",13,19,22,27,30,35,17,26,8,20,18,35,21,12,114
"Pdss2",179,133,198,82,154,155,170,285,68,181,234,177,202,161,169
"CG12984",1,3,2,0,6,3,0,1,0,2,4,1,0,3,4
"CG14187",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Ir76b",5,0,0,0,0,2,2,2,0,0,2,0,3,4,1
"CG7504",92,90,115,36,82,73,147,221,34,176,173,127,152,121,350
"CG7550",313,232,216,85,208,185,172,245,71,241,190,200,207,143,137
"CG14185",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"CG14186",66,32,50,15,44,30,34,48,5,24,21,28,31,46,23
"Nulp1",1514,1090,1255,580,1192,1184,1147,1779,447,1460,1381,1434,1317,1086,1083
"CG10587",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CG14184",1399,1202,1240,698,1293,1444,1165,1796,482,1785,1465,1399,1558,1240,1040
"CG11037",0,0,0,1,0,2,0,0,0,0,0,0,0,0,0
"CG14183",63,48,68,19,55,61,37,46,3,32,29,17,43,31,15
"CG10588",0,0,0,1,0,2,0,1,0,2,0,0,0,2,0
"kug",1717,1127,1438,535,1707,1657,1209,1603,370,1576,1849,1772,1526,1100,1553
"CG7565",454,364,392,223,519,382,423,589,163,573,425,596,498,422,310
"Sems",0,0,0,0,0,4,0,0,0,1,0,3,1,0,1
"CG10589",6,8,6,4,0,4,5,2,1,1,6,2,0,4,4
"Tom20",1746,1304,1481,698,1455,1442,1268,1957,448,1642,1604,1635,1620,1259,1418
"bip1",67,48,73,26,62,48,57,62,35,117,68,68,76,70,128
"CG8038",142,167,156,54,133,164,134,231,50,179,160,179,219,130,169
"CG32432",10,2,17,1,6,10,6,16,2,5,14,4,11,3,6
"schuy",0,0,0,0,0,1,0,2,0,0,0,1,0,0,0
"CG8209",2463,2123,2125,1181,2058,2491,1791,3247,870,2803,2863,2446,2239,1981,1613
"CG11456",164,130,182,85,135,180,149,213,50,259,188,175,175,146,166
"hale",0,0,1,0,0,3,0,0,0,0,0,2,1,1,5
"Su(Tpl)",4748,4138,4482,1559,4569,4032,3797,5521,1226,4579,4789,3835,4272,3910,2961
"CG8042",2402,2144,2395,1144,2173,2483,2396,3592,842,3220,3093,2756,2665,2302,1670
"CG7409",111,134,97,15,36,37,31,22,16,54,135,53,113,91,58
"CG3288",0,0,0,0,2,0,0,0,1,0,0,3,0,1,1
"Mi-2",2899,2219,2762,927,2152,2080,2681,3841,1095,3255,3491,2674,3078,2927,3473
"exex",0,3,0,0,0,1,0,1,48,7,2,146,1,0,8
"CG14182",167,131,156,62,121,167,152,189,39,166,175,135,135,117,128
"Srp9",508,537,429,232,558,553,517,686,169,764,689,691,632,524,592
"CG3618",161,170,130,152,317,261,218,360,104,556,437,386,228,153,338
"RhoGDI",5156,3337,4746,1732,3867,3513,2872,3951,859,3643,3461,4214,3472,3281,2844
"CG8111",1227,964,1311,601,1050,1257,589,954,184,912,716,793,830,585,543
"HIPP1",974,918,920,386,750,830,1166,1595,375,1254,1333,1104,1140,979,1146
"CG8004",511,401,455,153,332,378,423,585,132,428,386,418,398,364,384
"Cyp305a1",89,89,53,100,183,256,194,231,53,277,305,286,213,194,128
"CG8281",420,310,371,120,305,282,279,417,85,242,261,182,224,196,198
"CG8492",498,571,449,110,263,524,630,748,162,156,353,233,293,283,193
"CG3634",673,529,606,306,510,563,536,897,239,659,654,548,698,538,565
"Grasp65",1381,1212,1395,699,1347,1359,1698,1987,459,1503,1847,1545,1520,1734,1128
"eIF4E5",6,1,0,1,0,0,0,1,0,0,2,0,3,0,0
"Spc105R",9,7,5,3,17,16,16,40,10,24,27,27,21,25,235
"Pfdn6",828,739,837,434,885,785,589,946,190,869,741,852,689,541,697
"TORIP",836,632,729,306,808,720,508,784,224,823,665,788,668,543,621
"Mcad",19,18,23,11,19,21,32,36,13,49,38,17,35,49,42
"Rpn1",8427,7963,8369,3127,6057,8165,7423,13826,3880,10476,9114,10408,8365,7526,6077
"CG3698",0,0,0,0,5,1,0,0,0,0,0,0,0,0,0
"Mtr3",180,157,141,76,129,171,177,258,76,296,192,215,244,190,254
"CG14102",18,21,18,17,33,64,69,96,22,117,108,84,87,66,67
"ms(3)76Ca",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CG7492",1252,1102,1182,512,1063,1208,1028,1566,342,1150,1083,932,1083,953,965
"PGRP-SD",422,426,513,1088,2212,1847,478,639,85,947,1547,552,691,513,356
"Trpml",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CG7506",473,430,446,251,477,453,368,504,124,497,452,551,428,320,401
"tey",0,0,0,0,3,0,0,0,8,0,1,33,2,1,0
"CG7716",0,0,0,0,5,1,0,0,0,0,4,2,0,0,0
"Oat",1070,1103,1164,552,1070,1024,1567,2111,462,534,1370,545,1201,1368,2056
"CG14838",5,0,0,0,0,5,0,0,0,0,0,0,0,0,0
"CG8786",428,324,347,123,233,214,267,360,93,390,352,329,273,252,335
"CG14837",10,16,4,5,7,4,5,17,8,7,11,10,7,7,7
"ms(3)76Cc",11,6,5,6,11,11,9,10,4,6,2,8,8,6,10
"l(3)76BDm",1073,828,1047,482,1115,994,994,1522,375,1419,1238,1188,1179,988,962
"CG16998",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PIG-F",201,177,160,74,151,175,120,174,49,185,142,189,109,127,184
"CG9372",4316,2964,3965,1062,2606,1756,2951,3625,806,1502,2250,1053,3228,3835,2679
"CG7548",0,0,0,0,3,0,1,1,0,0,0,0,0,0,0
"CG8539",1112,1214,1504,433,1409,903,1198,1717,372,374,1278,516,1046,1292,2366
"CG14100",218,181,156,83,147,169,186,255,54,230,201,211,188,159,228
"Cyp316a1",4,10,18,7,35,17,24,49,12,26,32,20,28,44,60
"CG9330",2240,1946,2080,905,1901,1811,2082,3286,712,2442,2205,1853,2560,2144,1990
"CG9231",1059,785,1040,456,804,920,961,1432,287,1028,1015,921,1062,802,823
"CG8541",0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
"CG8543",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"CG9300",270,278,267,133,338,225,362,389,79,460,351,293,427,269,578
"ppk26",14,7,0,0,1,0,7,0,4,0,1,1,1,0,2
"CG14835",6,0,0,0,3,5,0,1,0,0,6,3,0,0,2
"Rac2",7419,5878,6863,2118,5127,5829,4481,7119,1157,4239,4337,3781,5373,5467,3308
"Cpr76Bb",3,0,1,0,0,0,1,5,0,5,4,6,18,8,30
"CG8560",1,0,2,0,1,0,1,2,1,0,0,2,0,0,2
"Cpr76Ba",0,0,0,0,0,0,5,5,1,3,1,1,15,20,22
"CG18417",12,6,11,10,21,4,849,801,162,437,744,271,1195,719,802
"CG9452",1014,444,643,585,962,731,119,188,12,241,440,175,176,185,124
"CG8562",0,1,4,0,0,0,2,0,2,0,0,31,0,2,1
"CG9451",1037,1186,1112,417,1233,1766,1302,1163,134,552,1078,412,1109,833,704
"CG8563",3,3,3,5,2,4,5,2,0,6,3,4,3,4,1
"brv1",0,1,0,0,0,0,1,0,0,0,0,0,7,1,0
"CG8564",4,0,0,0,5,5,1,4,0,1,4,1,1,6,1
"CG18294",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SMSr",979,875,976,311,764,884,756,1199,201,543,723,564,818,667,594
"CG12519",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"CG14096",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"CG14095",2,0,2,0,0,0,2,1,1,0,0,0,0,0,0
