"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"lncRNA:CR46039",1.77999516512031,-0.27484521323798,1.80866283245891,-0.151960447412038,0.879218131679565,NA
"lncRNA:CR46041",0.73241337909093,-0.856173430498804,2.77468167825583,-0.308566361759017,0.75765141236383,NA
"lncRNA:CR46035",112.638280569634,-0.0608917741103736,0.220697774533311,-0.275905700631263,0.782620495333304,0.913153598507672
"lncRNA:CR46036",8.6516398622328,0.00199479862402091,0.8247932932938,0.00241854370087651,0.99807028320271,0.999657052291456
"lncRNA:CR45223",46.3373267428558,-0.177860074227629,0.84354913156324,-0.210847320651049,0.833006411943969,0.937665334679985
"lncRNA:CR45911",1.74264548440314,0.128809290819453,1.84096995602553,0.0699681656389114,0.944218997658215,NA
"lncRNA:CR46239",32.1101971585475,2.3635183732167,0.593777972272021,3.98047499837857,6.87776986011445e-05,0.00173833066882355
"lncRNA:CR45914",2.7430802551466,1.22514981806561,1.50325040211021,0.815000492496653,0.415072028173977,NA
"lncRNA:CR46015",4.65724550620705,1.41536070836946,1.29871581423597,1.08981556461767,0.275794396299315,NA
"lncRNA:CR46014",4.33760077256054,0.670760041573518,1.0986794174415,0.610514797060204,0.541520844432237,NA
"lncRNA:CR46013",1.44095711408871,3.69986905882451,2.06209371981462,1.79422934237787,0.0727765705645886,NA
"lncRNA:CR46203",1.74242052076903,0.77668835779515,1.52232053154243,0.510200277603955,0.609911157725281,NA
"lncRNA:CR43459",180.492881536148,0.146208577173292,0.342548753747776,0.426825599491008,0.669506359285096,0.868189762783161
"lncRNA:CR45790",4.86951115567218,2.4601552276864,1.25182447371923,1.96525573619533,0.0493846459220727,NA
"asRNA:CR46144",0.512374530588449,-0.108231372873789,2.99545684542949,-0.0361318418053428,0.971177232808317,NA
"asRNA:CR46145",3.22217956771375,-2.17612911888948,1.32597113234417,-1.64115874456658,0.100764467071771,NA
"lncRNA:CR46226",0.318846936312603,-2.31752383437622,4.0234704092117,-0.576001212552792,0.56461436200371,NA
"lncRNA:CR46225",0.269442892407542,-2.15582546574826,4.03081732391008,-0.534835814305028,0.592763395347577,NA
"asRNA:CR46128",47.7719948751235,-0.0459775823794584,0.332041448150799,-0.138469406863258,0.88986944646067,0.962137039832561
"asRNA:CR45907",4.60100187709112,0.288865776132236,1.01868233750795,0.283568061893467,0.77674141569172,NA
"asRNA:CR45908",18.9586662902192,0.461115549634586,0.724701113909565,0.636283760000028,0.524591487992258,0.785182521686986
"lncRNA:CR45915",1.42072347554604,3.68230432312299,2.07768138666207,1.77231424739231,0.0763424075057634,NA
"asRNA:CR46135",1.39839161887358,-0.141875849131659,1.93364612427941,-0.0733721891251072,0.941509947793093,NA
"asRNA:CR46136",15.3621973343635,0.544331834411846,0.594827413832674,0.915108856373199,0.360134486053672,0.668275788185367
"lncRNA:CR45793",9.35044503246245,1.1401437697979,0.949274378728271,1.20106872717384,0.229724542735125,0.533190159906334
"asRNA:CR46137",6.99781697976167,0.646949135982653,0.93958900665928,0.688544812037434,0.491109760927779,0.765928595648462
"asRNA:CR45999",7.15365142506585,2.51230545219557,1.01727571569675,2.4696406425812,0.013524884152797,0.0930261528202536
"asRNA:CR46139",2.49965861295856,2.28809342655264,1.66241126482137,1.37637026106082,0.168707030240032,NA
"asRNA:CR46255",2.13984484106833,-1.12694436257456,1.7252203806149,-0.653217626708591,0.513615988148677,NA
"lncRNA:CR46123",0,NA,NA,NA,NA,NA
"lncRNA:CR46250",3.54178245667346,0.227945182433123,1.44218139949508,0.158055832999183,0.874412803217336,NA
"asRNA:CR45969",1.45636245436702,-1.24448816293196,1.75528296728349,-0.708995749476198,0.47832711455315,NA
"lncRNA:CR45966",0.541382383351351,-0.353843638679082,2.96131810243142,-0.119488560985243,0.90488830212031,NA
"lncRNA:CR45965",2.41007173191764,2.27850752193879,2.22749414691239,1.0229016875744,0.306354331520766,NA
"lncRNA:CR45957",1.97099775568473,1.85658460192722,1.60042576731527,1.16005667981819,0.246025730082763,NA
"lncRNA:CR45964",1.629953110124,1.95353839692043,1.92207852987176,1.01636762835635,0.309454354971557,NA
"lncRNA:CR45920",15.472121216064,-1.1748607608712,0.574155214839403,-2.0462424280163,0.0407325248893299,0.193836110241842
"lncRNA:CR45962",53.0925859642883,0.250260708887233,0.326384186160949,0.766767262320187,0.443219904085869,0.731637961224225
"lncRNA:CR45963",1.01997789301922,-1.53120189135113,2.54513370590305,-0.601619430759075,0.547427491798657,NA
"asRNA:CR45960",0.448376513501064,2.01158492997004,3.91137284178452,0.514291276065688,0.60704836012688,NA
"lncRNA:CR45954",4.19783774986661,0.748183342184721,1.26602178459792,0.590971933727301,0.554539226374854,NA
"lncRNA:CR45953",2.15105698490031,0.910756239231167,1.90300014439795,0.478589684773408,0.632230558085594,NA
"lncRNA:CR45803",3.46225023281138,-0.210435180021079,1.45244308522253,-0.144883597961319,0.884802776716537,NA
"asRNA:CR45951",0.541544935950834,-0.350852878111182,2.46745595031314,-0.142192154663047,0.886928228497558,NA
"lncRNA:CR45973",11.2336837204983,2.16293334697515,1.03423270238794,2.0913410898545,0.0364974989213774,0.180504861779967
"lncRNA:CR45942",1.5539769397755,-0.858281533504888,2.40596256143814,-0.356731042810516,0.721293163724126,NA
"lncRNA:CR45916",2.17427113766759,0.678938578122453,1.63108513074443,0.416249627517961,0.677227348313245,NA
"asRNA:CR46048",5.94584454799941,0.599714096380508,1.05689093952454,0.567432337579031,0.570420484720363,0.81185552755379
"lncRNA:CR45939",1.59485720355035,-3.10331337612135,1.95644559017419,-1.58619968360329,0.112694019551208,NA
"lncRNA:CR45938",6.28003464268577,0.396376246669999,0.984905657720082,0.402450979505544,0.687352158087334,0.874990045788668
"lncRNA:CR45922",3.83298166646448,1.7295490289703,1.13449629822869,1.52450830528991,0.127381783758406,NA
"lncRNA:CR43174",17.0970400477828,0.954991271146743,0.560749148446643,1.70306325705926,0.088556231086641,0.310607128670501
"lncRNA:CR45898",1.15184151614447,2.13063651812122,2.01901103466988,1.05528720820963,0.291293989647548,NA
"lncRNA:CR46214",0.954871808812042,0.576210728827894,3.32573775262553,0.173258017224298,0.862448621966477,NA
